,id,name,school,job_title,job_desc,image_file,field,major,interest,username,password,email
0,1,서강준,서울대학교,스타트업 CEO,"삼산텍에서 CEO로서 직원채용, 투자유치 그리고 IR 등을 담당하고 있습니다.",profile_pic_mentor1.jpg,"['교육', '법률', '건강']","[ '경영학과' , '경제학과' ]","[ '미술' , '독서'] ",test1,1234,test1@mm.com
1,2,김서준,가톨릭대학교,UX/UI,인공위성 발사체 1단 로켓엔진을 설계하는 일을 맡고 있습니다,profile_pic_mentor2.jpg,"['UX디자인', '마케팅', '비즈니스']",[ '경영학과' ],"[ '독서' , '게임'] ",test2,1234,test2@mm.com
2,3,이하준,고려대학교,우주공학 엔지니어,,profile_pic_mentor3.jpg,"['빅데이터', '벤처']",[ '물리학과' ],"[ '운동' , '패션'] ",test3,1234,test3@mm.com
3,4,박도윤,건국대학교,반도체개발 엔지니어,삼성에서 반도체를 만들때 발생되는 화학폐기물을 처리하는 기술을 개발하고 있습니다,profile_pic_mentor4.jpg,['엔지니어'],[ '화학과' ],[ '건강'] ,test4,1234,test4@mm.com
4,5,김시우,경기대학교,경영평가,물류회사에서 분기별 실적을 검사하고 문제점을 찾는 일을 하고 있습니다,profile_pic_mentor5.jpg,['마케팅'],[ '경영학과' ],[ '주식'] ,test5,1234,test5@mm.com
5,6,이은우,경희대학교,강사,"홍익대학교, 경의대학교, 중앙대학교에서 생물학 강의를 맡고 있습니다",profile_pic_mentor6.jpg,"['교육', '법률', '건강']",[ '생물학과' ],[ '파티'] ,test6,1234,test6@mm.com
6,7,박치호,고려대학교,경영기획,카이스트에서 미생물과 환경이 상호 연관성을 연구하는 연구원입니다,profile_pic_mentor7.jpg,['세일즈'],[ '생물학과' ],"[ '낚시' , '웹툰' , '파티'] ",test7,1234,test7@mm.com
7,8,장예준,광운대학교,스타트업 CEO,스마트홈 기술관련 회사 CEO 입니다,profile_pic_mentor8.jpg,"['빅데이터', '벤처']","[ '경영학과' , '경제학과' ]","[ '주식' , '패션'] ",test8,1234,test8@mm.com
8,9,정민준,국민대학교,스타트업 CTO,바이러스 백신 운송관련 기술개발 CTO 입니다,profile_pic_mentor9.jpg,['벤처'],[ '생물학과' ],"[ '독서' , '게임'] ",test9,1234,test9@mm.com
9,10,최유준,동국대학교,병원행정,울산병원에서 병원 행정 업무를 담당하고 있습니다,profile_pic_mentor10.jpg,"['음악', '방송', '운동']",[ '간호과' ],"[ '우주' , '게임'] ",test10,1234,test10@mm.com
10,11,허주원,명지대학교,UX/UI,블리자드에서 리그오브레전드 UI/UX를 맡은 디자이너 입니다,profile_pic_mentor11.jpg,['그래픽디자인'],[ '게임공학과' ],[ '건강'] ,test11,1234,test11@mm.com
11,12,김이준,삼육대학교,경영평가,천일기업 인사/회계 담당자,profile_pic_mentor12.jpg,['건강'],[ '경영학과' ],"[ '우주' , '웹툰'] ",test12,1234,test12@mm.com
12,13,이우진,상명대학교,응용SW엔지니어어,닌텐도 임베디드 시스템 디자인 업무를 하고 있습니다,profile_pic_mentor13.jpg,['IT'],[ '게임공학과' ],"[ '미술' , '독서'] ",test13,1234,test13@mm.com
13,14,박수호,서강대학교,우주공학 엔지니어,천문대 천체망원경 오퍼레이션 담당자 입니다,profile_pic_mentor14.jpg,['공학'],[ '물리학과' ],[ '웹툰'] ,test14,1234,test14@mm.com
14,15,장선우,서경대학교,스타트업 CEO,잘만테크 CEO 입니다,profile_pic_mentor15.jpg,['연기'],"[ '경영학과' , '경제학과' ]",[ '환경'] ,test15,1234,test15@mm.com
15,16,정지후,서울대학교,마케팅전략기획,구글 코리아 앱게임 마케팅 한국지사장,profile_pic_mentor16.jpg,['인공지능'],[ '게임공학과' ],"[ '경제' , '파티' , '건강'] ",test16,1234,test16@mm.com
16,17,최서진,서강대학교,KBS 프로듀서,KBS 프로듀서 입니다,profile_pic_mentor17.jpg,"['음악', '방송', '운동']",[ '공연예술과' ],"[ '게임' , '낚시'] ",test17,1234,test17@mm.com
17,18,허연우,서울과학기술대학교,반도체개발 엔지니어,하이닉스 반도체 연구원 입니다,profile_pic_mentor18.jpg,['엔지니어'],[ '물리학과' ],"[ '낚시' , '웹툰' , '파티'] ",test18,1234,test18@mm.com
18,19,황윤우,서울시립대학교,경영기획,제품 디자인 컨설팅 하는 프리랜서 입니다,profile_pic_mentor19.jpg,['마케팅'],[ '공업디자인' ],"[ '미술' , '패션'] ",test19,1234,test19@mm.com
19,20,건도현,성공회대학교,방과후활동 교사,명지고등학교 방과후 교사 입니다,profile_pic_mentor20.jpg,"['교육', '법률', '건강']",[ '가정교육과' ],"[ '웹툰' , '우주'] ",test20,1234,test20@mm.com
20,21,신지안,성균관대학교,반도체개발 엔지니어,반도체 패키징 디자인을 합니다,profile_pic_mentor21.jpg,['그래픽디자인'],[ '공업디자인' ],[ '건강'] ,test21,1234,test21@mm.com
21,22,서이안,세종대학교,간호사,아주대학교 병원 간호사 입니다,profile_pic_mentor22.jpg,['건강'],[ '간호과' ],"[ '우주' , '게임'] ",test22,1234,test22@mm.com
22,23,백현우,숭실대학교,UX/UI,앱게임 개발 프리랜서,profile_pic_mentor23.jpg,['IT'],[ '게임공학과' ],"[ '영화' , '게임'] ",test23,1234,test23@mm.com
23,24,유우주,연세대학교,LG화학 엔지니어,LG화학 연구원 입니다,profile_pic_mentor24.jpg,['공학'],[ '화학과' ],"[ '웹툰' , '우주'] ",test24,1234,test24@mm.com
24,25,오지훈,중앙대학교,변호사,교통사고 전문 변호사 입니다,profile_pic_mentor25.jpg,['법률'],[ '법학과' ],"[ '게임' , '웹툰' , '독서'] ",test25,1234,test25@mm.com
25,26,남소율,서강대학교,방송콘텐츠제작,유튜브를 통해 게임관련 컨텐츠 방송을 합니다,profile_pic_mentor26.jpg,"['UX디자인', '마케팅', '비즈니스']",[ '공연예술과' ],"[ '음식' , 낚시'] ",test26,1234,test26@mm.com
26,27,윤서현,서강대학교,방송콘텐츠제작,유튜브를 통해 게임관련 컨텐츠 방송을 합니다,profile_pic_mentor27.jpg,['영상디자인'],[ '게임공학과' ],"[ '환경' , '영화' , '독서'] ",test27,1234,test27@mm.com
27,28,조유나,총신대학교,스타트업 CEO,인포벤처 CEO-빅데이터 기반 상품추천 알고리즘 제작하는 회사 입니다,profile_pic_mentor28.jpg,"['빅데이터', '벤처']","[ '경영학과' , '경제학과' ]","[ '환경' , '영화' , '독서'] ",test28,1234,test28@mm.com
28,29,강예린,성균관대학교,방송콘텐츠제작,유튜브 영어공부 관련 컨텐츠 제작자 입니다,profile_pic_mentor29.jpg,['방송'],[ '영문학과' ],"[ '음식' , '파티'] ",test29,1234,test29@mm.com
29,30,양연우,한국외국어대학교,디지털마케터,인터넷 쇼핑몰 운영,profile_pic_mentor30.jpg,['음악'],[ '컴퓨터학과' ],"[ '운동' , '패션'] ",test30,1234,test30@mm.com
30,31,배유진,한성대학교,헬스트레이너,서초헬스 사장 입니다,profile_pic_mentor31.jpg,['건강'],[ '생물학과' ],[ '음식'] ,test31,1234,test31@mm.com
31,32,백소은,한양대학교,마케팅전략기획,SK VR콘텐츠 제작 부서 과장,profile_pic_mentor32.jpg,['IT'],[ '경영학과' ],"[ '경제' , '파티' , '건강'] ",test32,1234,test32@mm.com
32,33,이지윤,홍익대학교,음악 프로듀서,프리랜서 작곡가 입니다,profile_pic_mentor33.jpg,"['음악', '방송', '운동']",[ '공연예술과' ],[ '운동'] ,test33,1234,test33@mm.com
33,34,박다온,경성대학교,방과후활동 교사,성사중학교 방과후활동 교사 입니다,profile_pic_mentor34.jpg,"['방송', '연기']",[ '가정교육과' ],"[ '낚시' , '웹툰' , '파티'] ",test34,1234,test34@mm.com
34,35,김은서,고신대학교,헬스트레이너,동대문 헬스 헬스트레이너 입니다,profile_pic_mentor35.jpg,['연기'],[ '경호학과' ],"[ '게임' , '웹툰' , '독서'] ",test35,1234,test35@mm.com
35,36,이지민,동명대학교,방송콘텐츠제작,SBS 8시뉴스 PD,profile_pic_mentor36.jpg,['연기'],[ '공연예술과' ],"[ '미술' , '패션'] ",test36,1234,test36@mm.com
36,37,박예은,동서대학교,UX/UI,"한국 미술관 팜플렛 제작, 프리랜서",profile_pic_mentor37.jpg,['그래픽디자인'],[ '공연예술과' ],[ '건강'] ,test37,1234,test37@mm.com
37,38,허주원,경성대학교,건강관리사,온라인 건강관리 상담사 입니다,profile_pic_mentor38.jpg,['건강'],[ '가정교육과' ],[ '독서'] ,test38,1234,test38@mm.com
38,39,김이준,경성대학교,응용SW엔지니어어,백엔드 엔지니어,profile_pic_mentor39.jpg,['IT'],[ '컴퓨터학과' ],"[ '게임' , '낚시'] ",test39,1234,test39@mm.com
39,40,이우진,동아대학교,스타트업 CEO,한빛테크 자율주행 기술 CEO,profile_pic_mentor40.jpg,['공학'],"[ '경영학과' , '경제학과' ]",[ '독서'] ,test40,1234,test40@mm.com
40,41,박수호,세종대학교,롯데케미칼 엔지니어,화학 연구원 입니다,profile_pic_mentor41.jpg,['엔지니어'],[ '화학과' ],[ '게임'] ,test41,1234,test41@mm.com
41,42,장선우,홍익대학교,광고기획,SK 광고기획 담당자,profile_pic_mentor42.jpg,['마케팅'],[ '공업디자인' ],[ '환경'] ,test42,1234,test42@mm.com
42,43,최유하,동의대학교,게임기획,스마트폰 앱게임 개발자 입니다,profile_pic_mentor43.jpg,['빅데이터'],[ '게임공학과' ],"[ '음식' , '파티'] ",test43,1234,test43@mm.com
43,44,조세아,연세대학교,방송콘텐츠제작,JTBC 예능 프로듀서,profile_pic_mentor44.jpg,"['방송', '연기']",[ '공연예술과' ],[ '게임'] ,test44,1234,test44@mm.com
44,45,양연우,연세대학교,마케팅전략기획,한화그룹 마케팅 전략 과장,profile_pic_mentor45.jpg,"['영상디자인', 'UX디자인']",[ '공연예술과' ],"[ '독서' , '게임'] ",test45,1234,test45@mm.com
45,46,배유진,연세대학교,학원강사,대성학원 영어 강사,profile_pic_mentor46.jpg,"['마케팅', '세일즈']",[ '영문학과' ],"[ '우주' , '게임'] ",test46,1234,test46@mm.com
46,47,백소은,부산대학교,경영평가,수출입 관리 업무 담당하고 있습니다,profile_pic_mentor47.jpg,"['요리', '건강']",[ '경영학과' ],[ '운동'] ,test47,1234,test47@mm.com
47,48,이우진,연세대학교,반도체개발 엔지니어,진공기술 개발/관리,profile_pic_mentor48.jpg,"['IT', '벤처']",[ '물리학과' ],"[ '영화' , '게임'] ",test48,1234,test48@mm.com
48,49,황윤우,부산외국어대학교,변호사,특허/상표등록 전문 변호사,profile_pic_mentor49.jpg,"['법률', '마케팅']",[ '법학과' ],"[ '경제' , '파티' , '건강'] ",test49,1234,test49@mm.com
49,50,건도현,신라대학교,광고기획,광고심의 위원회 정직원,profile_pic_mentor50.jpg,"['교육', '법률', '건강']",[ '영문학과' ],[ '음식'] ,test50,1234,test50@mm.com
50,51,신지안,영산대학교,유튜버,공연 소개 및 리뷰 전문 유튜버,profile_pic_mentor51.jpg,"['방송', '연기']",[ '공연예술과' ],[ '파티'] ,test51,1234,test51@mm.com
51,52,서이안,인제대학교,경영기획,행동발달 장애 교정소 행정관,profile_pic_mentor52.jpg,"['마케팅', '세일즈']",[ '가정교육과' ],"[ '환경' , '영화' , '독서'] ",test52,1234,test52@mm.com
52,53,김채은,한국해양대학교,마케팅전략기획,세종문화회관 마케팅 담당,profile_pic_mentor53.jpg,"['음악', '방송', '운동']",[ '공연예술과' ],"[ '음식' , 낚시'] ",test53,1234,test53@mm.com
53,54,이지윤,연세대학교,전기기기설계,구청 전산 공무원,profile_pic_mentor54.jpg,"['IT', '벤처']",[ '컴퓨터학과' ],"[ '환경' , '우주' , '독서'] ",test54,1234,test54@mm.com
54,55,박다온,건양대학교,유튜버,화학 관련 다양한 주제를 다루는 유튜버 입니다,profile_pic_mentor55.jpg,"['엔지니어', '공학']",[ '화학과' ],"[ '미술' , '독서'] ",test55,1234,test55@mm.com
55,56,김은서,대전대학교,변호사,가정법률상담 전문 변호사 입니다,profile_pic_mentor56.jpg,"['법률', '마케팅']",[ '법학과' ],"[ '독서' , '음식'] ",test56,1234,test56@mm.com
56,57,이지민,목원대학교,요리사,디저트 요리전문 연구원,profile_pic_mentor57.jpg,"['요리', '건강']",[ '생물학과' ],"[ '게임' , '웹툰' , '독서'] ",test57,1234,test57@mm.com
